seed,d2_frac,d2_used,rmse_hybrid_raw,n_test_traj_used
0,0.1,452,1.9005197111447822,19
1,0.1,452,1.8563750840290305,19
2,0.1,452,1.9092876286224258,19
3,0.1,452,1.8398578551783114,19
4,0.1,452,1.8384000437038903,19
0,0.25,1130,1.9005083041095563,19
1,0.25,1130,1.8563753933455514,19
2,0.25,1130,1.9092369424360918,19
3,0.25,1130,1.8397840267467422,19
4,0.25,1130,1.8385072787174457,19
0,0.5,2260,1.900469260377036,19
1,0.5,2260,1.85632388157662,19
2,0.5,2260,1.9092407757918002,19
3,0.5,2260,1.8398597796766654,19
4,0.5,2260,1.838448754780365,19
0,0.75,3390,1.900473185027396,19
1,0.75,3390,1.8562926802339978,19
2,0.75,3390,1.9092446085600043,19
3,0.75,3390,1.8397691921012005,19
4,0.75,3390,1.8384708556647391,19
0,1.0,4520,1.900472396865495,19
1,1.0,4520,1.856288385088759,19
2,1.0,4520,1.9092584287372394,19
3,1.0,4520,1.8397665145358633,19
4,1.0,4520,1.8384595861996471,19
