dt,beta,feat,lam_P,lam_R,res_scale,clip_r,n_d2,n_res_pairs,skipped_pairs,n_test_traj_used,rmse_phys_only_raw,rmse_phys_plus_residual_raw,delta_improvement_raw,train_traj_ids,val_traj_ids,test_traj_ids_intrain,used_test_traj_ids,seed,failed
0.03,0.5,linear,0.001,1.0,1.0,2.0,4520,4179,0,19,2.513316936057224,1.900472396865507,0.6128445391917168,"[2, 11, 26, 21, 10, 4, 28, 16, 23, 6, 18, 25, 3, 29, 8, 0, 19, 12, 20, 13, 7]","[5, 17, 14, 22]","[9, 27, 24, 1, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0,False
0.03,0.5,linear,0.001,1.0,1.0,2.0,4520,4179,0,19,2.513254673328069,1.856288385088777,0.6569662882392922,"[21, 16, 7, 1, 3, 28, 15, 11, 25, 20, 24, 29, 26, 23, 2, 17, 12, 10, 4, 5, 8]","[0, 9, 14, 18]","[22, 13, 27, 6, 19]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",1,False
0.03,0.5,linear,0.001,1.0,1.0,2.0,4520,3980,199,19,2.513359965591677,1.9092584287372434,0.6041015368544338,"[15, 24, 7, 26, 12, 16, 18, 14, 22, 10, 25, 28, 20, 23, 6, 29, 2, 11, 13, 0, 27]","[17, 19, 9, 5]","[21, 3, 4, 8, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",2,False
0.03,0.5,linear,0.001,1.0,1.0,2.0,4520,3980,199,19,2.513344888147891,1.8397665145358555,0.6735783736120353,"[26, 20, 23, 3, 27, 12, 17, 28, 18, 10, 0, 25, 11, 13, 8, 15, 9, 6, 1, 2, 29]","[16, 14, 4, 7]","[22, 5, 21, 19, 24]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3,False
0.03,0.5,linear,0.001,1.0,1.0,2.0,4520,4179,0,19,2.513396101337049,1.8384595861996669,0.6749365151373823,"[11, 28, 0, 8, 7, 1, 25, 26, 15, 10, 9, 20, 13, 5, 23, 16, 18, 17, 24, 2, 6]","[19, 29, 22, 4]","[3, 12, 21, 27, 14]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",4,False
0.03,0.5,linear,0.001,1.0,1.0,2.0,4520,3980,199,19,2.5133347395369015,1.9212444736432366,0.5920902658936649,"[19, 9, 2, 7, 23, 24, 11, 6, 12, 17, 3, 27, 29, 16, 1, 25, 20, 28, 18, 4, 26]","[15, 10, 13, 22]","[0, 5, 21, 14, 8]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",5,False
0.03,0.5,linear,0.001,1.0,1.0,2.0,4520,3980,199,19,2.513387643328129,1.9519626565408912,0.5614249867872376,"[16, 1, 6, 2, 27, 14, 22, 21, 24, 11, 4, 25, 8, 23, 26, 29, 28, 18, 20, 10, 9]","[19, 3, 13, 0]","[5, 12, 15, 7, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",6,False
0.03,0.5,linear,0.001,1.0,1.0,2.0,4520,3980,199,19,2.513557512447369,1.9235972978530749,0.5899602145942942,"[12, 14, 4, 28, 22, 24, 17, 3, 27, 19, 18, 13, 0, 25, 23, 10, 8, 7, 1, 15, 6]","[16, 20, 5, 29]","[26, 2, 21, 9, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",7,False
0.03,0.5,linear,0.001,1.0,1.0,2.0,4520,3980,199,19,2.513738572277996,2.0188549115538255,0.49488366072417067,"[15, 19, 8, 28, 13, 16, 14, 27, 10, 11, 0, 21, 17, 7, 3, 24, 9, 4, 22, 23, 12]","[1, 18, 6, 29]","[5, 26, 25, 2, 20]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",8,False
0.03,0.5,linear,0.001,1.0,1.0,2.0,4520,3980,199,19,2.5132098126777582,1.8492726449736716,0.6639371677040866,"[9, 18, 14, 2, 25, 16, 23, 6, 3, 13, 7, 26, 15, 21, 20, 17, 27, 19, 22, 10, 8]","[28, 12, 5, 29]","[24, 11, 4, 0, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",9,False
0.03,0.5,linear,0.001,1.0,1.0,2.0,4520,3980,199,19,2.5132422750689902,1.8879161193473637,0.6253261557216265,"[17, 9, 5, 7, 27, 15, 28, 25, 23, 18, 6, 1, 4, 26, 11, 3, 10, 20, 14, 19, 16]","[2, 12, 29, 8]","[21, 22, 0, 13, 24]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",10,False
